avg_area_income,avg_area_house_age,avg_area_roomNb,avg_area_bedroomNb,area_population,house_price,house_address
66264,6.37,7,4,49830,1441422,"001 Steve Plaza
Jessicastad, UT 25190"
75395,6.93,8,4,22268,1498641,"238 Anthony Drive
Acostahaven, AS 62753-6637"
65985,6.51,6,2,21867,954747,"01818 Wilson Spurs
West Andreaton, SD 69568-7005"
66477,6.98,6,2,32459,1124636,"95779 Walton Square
Bakershire, PR 49599"
69284,5.35,7,3,40283,1169944,"124 Russell Mountains Apt. 591
North Sharonfurt, OH 67836-4969"
70404,5.54,6,2,37128,1114431,"73080 Veronica Turnpike Suite 991
New Debra, VA 61246"
74218,8.07,7,4,46771,1783535,"106 Williams Well Apt. 657
Samanthaview, PR 87811"
63442,6.47,7,3,48062,1302933,"Unit 3405 Box 4348
DPO AP 68816-2990"
57494,6.89,7,4,47039,1241484,"4007 Kimberly Crossing
Nathanielview, NC 72093-8287"
81544,5.50,6,2,9816,954115,"Unit 5889 Box 7282
DPO AE 41177-0399"
78634,5.47,8,3,43729,1555321,"075 Andrea Green Suite 201
Johnshire, KS 50389"
52203,4.87,4,2,42166,404976,"6811 Spears Trail Suite 081
East Troy, MS 43910"
67980,5.56,6,2,25909,1073184,"69401 Danielle Motorway
New Dennis, IL 53971"
78568,5.48,6,2,41017,1422196,"2276 Riley Flats Suite 975
Johnmouth, NH 39983"
55473,4.82,6,3,15354,340605,"91111 Crane Spur
Kathleenmouth, ME 43022-3191"
67579,5.97,8,6,21763,1170960,"744 Hill Ports
Mooreside, MH 20945-2825"
61456,6.88,6,4,30821,942838,"019 Lisa Village Apt. 379
Maxwellmouth, DE 26176"
60815,7.17,8,4,31234,1401614,"50933 Barber Divide Suite 927
Jacksonborough, NE 46696-1788"
51217,5.38,9,3,47089,1175504,"USS Harrington
FPO AE 12326"
63028,4.86,6,2,35992,608794,"246 Michele Lock Suite 093
South Michellemouth, VI 62800"
62485,6.50,7,5,26883,946943,"356 Madeline Locks Apt. 115
Kaitlinland, MS 49150-0243"
73923,7.01,7,6,58745,1819901,"232 Allen Ridge
West Jasonview, CT 93021"
79738,7.32,7,2,28307,1463130,"5042 Ricky Road
New Candice, MN 40661-8809"
63890,4.97,8,5,43416,1252391,"60860 Griffin Streets Apt. 040
East Catherine, NH 18346"
67310,7.19,8,5,43311,1714445,"89002 Robert Square Suite 028
Port Jennyside, CA 38546-6307"
73146,4.10,7,3,49463,1291759,"8533 Sparks Lodge
New Kevin, GA 98179"
86924,6.83,8,6,28719,1809154,"922 Mark Lodge
Matthewton, ID 71131-3139"
74384,7.41,5,2,17117,1200539,"757 Sherri Shores Suite 744
Jesusfurt, OK 73052-4985"
67478,6.62,8,5,29764,1300265,"PSC 8479, Box 0952
APO AA 33741"
71203,4.32,7,4,34207,997449,"5560 Michaela Spur Suite 730
West Charlottefurt, PA 00463"
85845,6.74,9,3,46478,2152959,"255 Sosa Pines Suite 751
Wilsonview, MT 31615"
72139,7.16,8,5,35800,1629984,"156 Conner Lane
East Brittany, MI 26733"
44806,4.49,5,3,57391,497579,"478 Vasquez Fort Apt. 346
Aliciaside, NV 37124-6408"
67504,5.33,6,4,37441,890113,"67610 Smith Knolls
Brendaberg, MA 55188-7972"
74706,5.00,6,2,39681,1064686,"504 Robertson Streets
Jamesshire, WA 56754"
68898,6.79,8,6,39516,1530124,"777 Ross Crossroad
Kaiserville, RI 24445"
58118,8.14,6,4,35598,1246247,"2418 Samantha Green Apt. 016
Port Keithmouth, VT 62207-0408"
77643,6.07,5,4,35512,1240755,"95957 Tara Hill Suite 428
Huntland, KS 57002-5552"
67770,8.07,7,4,33255,1760735,"26906 Simmons Underpass Suite 444
Port Tinashire, DC 13101"
74411,5.53,7,6,43538,1393747,"4930 James Flats
New Shannon, NJ 75829-8040"
73101,4.10,9,4,29498,1172386,"78212 Turner Ville Apt. 217
West Lauraberg, MP 47353-3682"
58708,5.08,6,4,15970,483986,"33410 Smith Summit
West Kimberlyberg, CT 49785-3758"
63876,7.08,7,3,38053,1388530,"49940 Ramirez Mission Suite 136
West Bryan, MD 95291-3904"
68343,6.39,8,6,40654,1721739,"4746 Morgan Forge
Diaztown, VT 79978"
73065,5.99,7,6,30699,1276449,"5808 Burton Viaduct
North Nicholasport, CO 32392-1208"
67367,6.77,7,2,32547,1161743,"8093 Lara Overpass Apt. 364
Lake Brookebury, NV 30264"
66547,6.35,5,2,16742,786408,"249 Susan Canyon
North Jessica, ID 13412"
73314,6.41,8,4,37809,1604921,"08091 Bush Course
New Michael, RI 47524-7511"
47681,6.89,8,5,50909,1230149,"PSC 6933, Box 3805
APO AP 50576"
67911,6.45,7,4,31380,1051645,"6798 Smith Junctions
Wolfeton, WY 86565-5079"
69278,6.14,8,5,43718,1415074,"256 Sanchez Ports Apt. 057
Johnmouth, PA 69763"
67947,5.40,6,3,35198,1043484,"68672 Guzman Ridge
Clinefurt, WI 04078-6179"
90975,4.74,8,6,44426,1544380,"4447 Steven River Suite 076
West Karenmouth, DC 61561-8593"
61886,5.41,7,3,48727,1352136,"USCGC Hess
FPO AE 29193"
69402,7.04,8,3,29293,1505727,"0617 Neal Curve
South Daniel, AS 09326"
72969,6.19,8,4,31756,1416966,"412 Janet Radial Suite 115
Kariview, NY 37073-8343"
75582,5.51,7,4,31946,1046722,"9155 Kayla Station Suite 233
Natalieborough, SC 99093-8399"
56241,5.62,7,2,32745,939040,"3062 Donald Inlet Suite 642
West Matthew, GU 49340"
79413,6.09,7,3,17569,1383031,"764 Timothy Turnpike
North Audreymouth, TX 02395"
79618,4.57,7,3,29637,1072503,"862 Ryan Flat
West Larryborough, WV 11517"
67019,6.49,7,6,24997,1134398,"378 Evans Crest
East Shelbystad, HI 23326"
56063,5.11,5,4,39129,734828,"09897 Katherine Forge
North Johnside, NC 01211"
57078,5.78,7,4,33394,991892,"2367 Noah Center
North Dakotashire, PA 99619-0890"
75955,4.29,7,5,34468,1057253,"19678 Noble Cove Suite 264
South Elizabethfort, CO 13304-1647"
52576,7.13,7,4,41829,1237225,"8803 Jackson Ramp
South Thomasland, RI 09631-6361"
63313,6.14,8,4,43230,1442633,"87629 Shawn Crossing
North William, MN 71601-6188"
82527,6.45,8,4,43948,1877402,"2574 Shannon Alley
South Fred, OR 64217"
73205,6.64,7,6,35091,1394518,"676 Jose Locks Apt. 415
South Cynthia, SC 89264"
56357,5.71,5,3,38062,953939,"4160 Martinez Bridge Apt. 713
West Ann, MI 89447-0160"
71317,7.11,7,5,21652,1219778,"26847 Weber Ports Apt. 767
North Robinton, FM 43014"
75047,4.98,9,3,32468,1287325,"PSC 8891, Box 6475
APO AP 28726-5123"
84474,6.97,6,2,38678,1739894,"623 Jackson Road Apt. 492
Sarahville, NM 19973"
68163,6.96,7,3,31844,1213382,"0575 Edward Cliff
Miguelmouth, NY 06408"
62784,7.57,5,3,35122,1007479,"6660 Alex Park
Barkerfort, WY 52781"
67010,6.85,8,3,39737,1528756,"176 Parker Grove Apt. 591
Nicoleshire, MO 83183-5326"
67437,6.77,7,2,29356,1182460,"203 Amy Ford Suite 158
Kelleyfurt, LA 49990-9626"
65968,6.85,8,3,35800,1474547,"842 Jackson Parkway
Angelabury, MI 68188-8699"
42816,7.60,7,4,47458,1078017,"5339 Charles Road Apt. 570
East Angelicastad, PR 36295-7649"
83348,5.47,5,3,48227,1453382,"0647 Ramirez Hill
New Crystalport, AZ 33060"
81700,5.48,6,4,39527,1495013,"4233 Chase Fields
East Vanessabury, OR 85375-7861"
56144,4.58,7,4,45084,714148,"0606 Ricardo Drive
Williamton, GU 79243"
59514,4.89,6,3,44162,894292,"14157 Jones Parkway Suite 319
North Haley, AK 18534"
78379,5.99,6,3,31357,1159842,"2579 Pamela Shoals
North Christianhaven, TX 95259"
70877,6.77,7,5,36033,1195986,"PSC 5171, Box 6452
APO AA 44610-4655"
61527,6.59,9,6,27308,1381431,"23682 William Glens Apt. 920
Lake Hollystad, CO 20067"
65317,7.41,7,2,55799,1534890,"32521 Martinez Highway
Stephaniehaven, NY 78577"
76269,6.94,6,3,38650,1494125,"9109 Omar View Suite 461
East Sarahfort, WI 02969"
48531,6.86,9,5,39731,1356146,"5611 Chandler Mill
East Brianfort, AK 51236-0093"
82907,5.90,6,4,38820,1454943,"PSC 5599, Box 5942
APO AP 55563-1953"
63118,4.94,6,2,43092,774118,"2128 Shawna Orchard Suite 992
New Melissabury, MN 22338"
75861,3.69,5,3,41004,889113,"019 Moore Center Apt. 643
West John, KY 54923"
68845,4.86,7,3,48392,1211102,"Unit 3192 Box 6415
DPO AP 76779-7624"
52446,5.69,7,3,32935,658646,"20185 Mary Crest
South Reneeville, VI 91892"
69343,5.80,8,3,37082,1400105,"18067 Williams Roads Suite 683
South Christineton, CO 76227"
55932,7.22,6,4,42488,1262018,"089 Wilson Forks Suite 185
East Gina, PA 98785-6132"
53307,4.63,6,2,39063,553077,"9643 Oscar Valley
North Richardstad, ME 14629-9980"
56977,6.06,7,3,46376,1203248,"46619 Morgan Squares
Stevenfurt, FM 70548"
51296,6.16,8,6,32079,1115323,"407 Silva Inlet Apt. 301
East Carolmouth, SC 73414"
63995,7.60,7,5,24748,1301881,"USCGC Friedman
FPO AE 57606-0743"
71915,6.28,6,4,27714,1006687,"038 Anderson Club Suite 485
Richardsonfort, MA 22267"
62138,5.44,7,5,19046,749383,"014 Shaun Gardens
Lake Todd, HI 08110"
78051,5.23,6,4,27790,1075597,"2606 Stout Inlet
Port Brenda, SC 59596-5906"
67371,5.33,7,4,24798,739871,"94952 Hall Cliffs Suite 366
West Jessica, MT 23902"
59363,7.48,8,3,44723,1442945,"8581 Johnson Ranch Apt. 905
Jacquelinefurt, MH 08716-8228"
57003,7.01,6,3,29595,828497,"089 Jessica Dale
West Melissa, PW 59364"
68989,6.08,8,6,32630,1373291,"USNS Hamilton
FPO AA 90003"
70970,4.90,6,3,24834,925566,"8016 Hicks Alley Apt. 735
Nicoleside, WV 73615-4795"
82252,7.74,8,6,18409,1552537,"04952 Michael Terrace Apt. 414
Port Tammy, GA 56924-1868"
71306,5.77,7,2,43284,1335905,"3890 Hunt Trail
Davidhaven, OR 04793"
70922,5.67,6,3,29390,960808,"8398 Sanchez Gateway Suite 937
Mccoyburgh, PA 32814"
70739,6.71,7,6,35149,1405933,"67095 Jeffrey Islands Suite 573
West Elizabeth, MI 33061-9433"
58098,6.39,6,3,19903,619088,"31995 Moore Brook
New Melissa, MO 19787"
51274,7.03,7,2,53812,1329273,"Unit 5683 Box 5483
DPO AA 78774-2982"
76327,5.02,5,3,42780,1261844,"77194 Carlson Causeway Apt. 904
West John, KY 70976"
63584,5.83,6,4,46340,1175781,"73601 Donaldson Squares
Port John, VI 73473"
86340,4.93,6,3,35631,1437054,"6864 Michelle Field Apt. 339
Madisonmouth, KY 99033"
79471,5.87,8,6,36616,1594415,"35165 Haley Falls Suite 341
South Elizabeth, VT 29143-4442"
55880,6.41,5,2,37360,931358,"54993 James Place Suite 797
South Kenneth, CA 86457-1211"
40504,6.88,7,3,45979,798640,"6799 Downs Plaza
Randallberg, NH 17910-5241"
83394,5.60,6,2,30488,1451740,"79098 Brandon Island Suite 624
Horneshire, MA 35281-8110"
64501,6.00,7,5,43869,1278992,"8173 Rush Wells
New Stephanie, MS 56356"
59570,6.28,7,4,31295,885921,"762 Corey Landing Suite 528
Billymouth, AZ 48958"
69280,6.86,7,4,40291,1425633,"077 Laura Curve
New Christopherview, AZ 15138"
66342,5.86,7,3,11793,901882,"5342 Dean Overpass
Matthewville, MI 08613"
73367,6.17,9,5,23685,1521731,"469 William Shore Suite 726
South Krystalchester, MP 47720"
57122,5.71,6,2,41973,716771,"566 Brown Grove Apt. 886
Cardenasmouth, IN 87042-1285"
61979,7.91,8,5,56957,1696717,"017 Bowers Field
Williamsstad, OK 15934-8122"
54300,6.64,7,2,39513,819598,"05946 Wong Spur
Susanshire, NY 67746-2473"
71424,5.60,9,3,37243,1584214,"9297 Cole Highway
Patrickhaven, DC 02945-8988"
57353,8.08,6,4,16906,798893,"88404 William Cape Apt. 249
Dawsonhaven, MA 21219-3496"
44731,4.19,9,5,39633,601973,"4896 Jennifer River Apt. 180
Shafferberg, MN 77619-4214"
76175,4.52,10,4,30761,1456486,"82014 Stanton Gardens Suite 664
Lake Dawnborough, DC 86197-4191"
66575,5.55,7,2,69575,1702406,"551 Macdonald Viaduct
West Stephanie, TN 55360"
91731,5.18,8,6,33102,1566471,"860 Thompson Skyway Suite 901
Kimshire, AR 37353-5106"
75487,6.45,8,4,41105,1592210,"5036 Peterson Throughway
East Megan, GA 08456-4696"
58088,6.02,6,4,51925,937628,"Unit 5584 Box 2763
DPO AE 40544"
76319,6.87,6,3,48026,1558548,"09437 Carolyn Mountain
Knappview, CA 70608-7504"
60575,5.91,7,2,32159,1156329,"5052 Chloe Lights Apt. 374
North Scott, IA 81431"
69607,7.08,8,3,34609,1514350,"8781 Robert Lakes Suite 880
East Wendy, ID 51813"
67057,5.22,7,5,25135,1039107,"3440 Cannon Lakes
Port Melaniehaven, WA 60324-0399"
60641,5.17,5,2,43120,809090,"0956 Isabella Lodge
East Valeriefurt, CO 64441"
69032,5.78,6,3,15660,675536,"36736 Kristi Radial
Port Carl, ID 35292-9269"
80356,4.66,10,5,16215,1373590,"10492 Reed Track
North Ericstad, IA 78774-8363"
60081,6.77,8,4,60196,1690091,"Unit 6269 Box 9041
DPO AE 13073"
61881,6.52,7,5,35597,1253370,"1486 Elizabeth Plains Apt. 235
New Cynthia, MD 73729-5878"
59591,6.89,6,2,24154,774074,"239 Anna Locks Suite 853
Lisaland, GA 31515-2260"
89831,5.20,8,6,45335,1741960,"77610 Evan Field Apt. 712
West Shannonland, WI 30751"
72175,7.42,7,2,50306,1705763,"11385 Thomas Ford
New Karinaton, HI 01691-9923"
67589,6.21,6,2,33203,1071110,"385 Barnes Lock Suite 561
Lake Kellytown, NJ 74310"
77300,5.26,7,4,29499,1118048,"039 Chan Meadows
South Amandahaven, TN 78068"
65383,5.40,8,6,41723,1165253,"945 Schneider Villages Apt. 519
West Brittneyburgh, ID 36371-1622"
71145,6.15,7,2,35643,1280910,"15288 Steven Extensions Suite 209
Zacharybury, KS 87707-6205"
61053,5.79,6,2,40676,841123,"8559 Cooper Cove Suite 935
Katherinemouth, NE 81147-6595"
65126,5.93,7,4,37643,1228811,"90043 White Lane Apt. 673
Williamburgh, DE 67265"
51949,6.21,8,5,35336,1086072,"40094 Yates Lodge Suite 008
Fergusonborough, LA 87592-4342"
75898,5.32,7,3,34163,1204372,"17853 Michael Motorway
Danielfurt, MH 28095"
71468,6.16,6,3,43269,1345004,"48466 Brown Port Apt. 116
South Chelseatown, CO 28752"
53288,5.76,7,3,45152,1116902,"0205 Rose Crescent
East Ritaside, MD 10967"
61503,5.13,7,3,37651,822432,"18941 Ray Ports
East Nicoleland, OR 67363"
68896,6.39,8,4,28395,1360624,"1515 Watson Fort
Christopherberg, MP 90562"
91159,6.54,7,3,54861,2298379,"170 Smith Wall
South Christopherhaven, AZ 87521"
63375,6.67,8,3,45633,1400498,"064 Kaufman River
Danielburgh, CO 09090"
59696,5.45,6,2,20703,566849,"295 Angela Harbors
East Patriciaburgh, GA 95388"
63184,5.57,8,5,58691,1367586,"950 Luis Avenue Suite 364
West Nicole, OR 03658-3559"
61178,7.00,7,5,26396,1113374,"27945 Clark Tunnel
Kleinmouth, NV 19751-3095"
58642,5.21,6,3,35132,721975,"6163 Michael Orchard
Gallagherborough, GA 48395"
53112,5.14,6,4,40367,685504,"4158 Drew Plains Apt. 975
Ericaview, MP 60784"
40367,4.90,8,5,16349,152072,"503 Howard Pass Apt. 427
Fernandezborough, GA 02514"
62207,7.30,7,5,34318,1280432,"2084 Carter Highway Suite 935
New Stevenmouth, DE 67121"
57478,5.41,7,6,23650,568703,"2105 Lauren Radial
Lake Michellestad, FL 92096-6812"
55630,6.28,9,6,38943,1200765,"3407 Preston Pine
East Mark, NY 86626-3319"
72399,6.74,8,6,41662,1607162,"719 Raymond Route
West Diane, ME 60200-7803"
89869,4.50,7,5,30102,1421715,"310 Paul Mill Suite 863
Pamelaland, AS 20202-1133"
59801,4.21,5,2,33535,311111,"47705 Bethany Forge Suite 965
North Heatherhaven, ND 10371"
61957,7.84,7,4,38448,1338044,"791 Noble Port
Michaelland, OK 69198"
71123,6.69,6,3,44020,1417871,"143 Thomas Rapid Apt. 929
West Laurieport, ND 69617"
55203,4.38,8,3,28425,796389,"690 Lozano Inlet
Michelleville, AL 07048-6472"
79298,7.19,5,3,15753,1310207,"3591 Pham Spring Suite 077
Lisaport, CT 43572"
65071,7.14,6,4,24853,994898,"Unit 9227 Box 8732
DPO AE 73770"
68495,7.23,7,5,13999,1202988,"530 Johnson Circles
Cathyborough, MN 30306"
55702,5.55,6,3,40088,768752,"029 Patricia Bridge Apt. 540
Tranmouth, MP 59378-9231"
57234,7.89,6,2,37375,1211655,"880 Julie Union Suite 360
Sarahchester, LA 70074-3596"
85314,6.03,7,4,23974,1540418,"85227 Kevin Stream Suite 299
Lake Todd, WV 65286"
60225,4.68,5,3,42183,712228,"97544 Williams Unions Suite 893
South Harry, ME 21119"
73874,6.79,7,3,33336,1525533,"844 Hanson Points
East Lisa, ME 83883"
63149,7.16,6,2,37579,1034218,"171 Rocha Via
Cassandrafort, RI 90064-6234"
58594,4.66,6,2,39288,874104,"2758 Joshua Mission
Lake Chelsea, AS 18304-4644"
73840,6.45,8,4,47603,1912825,"75441 Ritter Corners
North Roberttown, UT 52401-4300"
75985,6.73,8,4,42249,1754771,"7815 Burns Skyway Suite 637
Melissaborough, TX 51087-6056"
82145,6.54,7,4,25736,1340067,"885 Veronica Stravenue
Wilsonland, FM 77249-8036"
69017,5.78,6,3,55831,1446757,"42822 Billy Lights
Tranchester, TX 45052"
75429,6.82,8,5,36769,1592768,"39474 Steven Fort Apt. 881
Kristaport, OR 79397-4419"
69514,4.12,8,6,14054,660365,"030 Jason Coves Apt. 387
Lake Christophershire, CA 88567"
57782,5.16,6,2,33427,861322,"Unit 2107 Box 1980
DPO AA 76733"
74372,6.56,8,6,34322,1648247,"111 Wilson Cape Suite 484
Hernandezton, VI 53808"
63522,5.54,7,2,31996,977136,"720 Vasquez Crest
Roberthaven, OK 57313"
61194,7.65,9,3,33196,1591934,"518 Gilmore Stream Suite 013
Lake Donald, ND 18581"
60317,4.31,6,4,33832,695386,"126 Kim Mount Apt. 763
Mariemouth, TN 60875"
58470,5.41,5,2,33548,568977,"43340 Thomas Mission Suite 671
Longport, VT 28226"
75180,4.60,7,5,23978,935591,"38138 Carter Shores
Lake Felicia, OK 96739-7550"
56187,3.99,9,5,41856,984312,"569 Jeremy Orchard
New Randy, RI 27359-4665"
73225,5.93,7,2,61831,1796246,"81623 Jenna Brook
Davidfort, PR 76020"
